index,timestamp,p2.Temp_Air,p2.Humi_Air,p3.CO2,d2.NH3,d2.H2S,CH4_Vout,valid_p2_temp,valid_p2_rh,valid_p3_co2,valid_d2_nh3,valid_d2_h2s,valid_ch4_vout,DAQ1_ok,DAQ2_ok,ADC_ok,overrun
1,2026-02-20 05:00:00.000,18.82,60.15,1051.0,0.0,0.0,1.787,1,1,1,1,1,1,1,1,1,0
2,2026-02-20 05:00:05.000,18.79,59.92,1050.0,0.0,0.0,1.784,1,1,1,1,1,1,1,1,1,0
3,2026-02-20 05:00:10.000,18.8,60.03,1051.0,0.0,0.0,1.786,1,1,1,1,1,1,1,1,1,0
4,2026-02-20 05:00:15.000,,,,0.0,0.0,1.787,0,0,0,1,1,1,0,1,1,0
5,2026-02-20 05:00:20.000,18.79,60.15,1051.0,0.0,0.0,1.784,1,1,1,1,1,1,1,1,1,0
6,2026-02-20 05:00:25.000,18.8,59.92,1050.0,,,1.786,1,1,1,0,0,1,1,0,1,0
7,2026-02-20 05:00:30.000,18.82,60.03,1051.0,0.0,0.0,1.787,1,1,1,1,1,1,1,1,1,0
8,2026-02-20 05:00:35.000,18.79,59.98,1050.0,0.0,0.0,1.784,1,1,1,1,1,1,1,1,1,0
9,2026-02-20 05:00:40.000,,,,0.0,0.0,1.786,0,0,0,1,1,1,0,1,1,0
10,2026-02-20 05:00:45.000,18.82,59.92,1050.0,0.0,0.0,1.845,1,1,1,1,1,1,1,1,1,0
11,2026-02-20 05:00:50.000,18.79,60.03,1051.0,0.0,0.0,1.845,1,1,1,1,1,1,1,1,1,0
12,2026-02-20 05:00:55.000,18.8,59.98,1050.0,0.0,0.0,1.845,1,1,1,1,1,1,1,1,1,0
