p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
16.943,65.290,910.458,4.742,0.862,1.9410
17.427,64.565,913.961,4.980,0.868,1.9485
17.298,63.958,937.250,5.077,0.867,1.9745
17.453,64.678,938.812,5.202,0.844,1.9912
17.530,63.656,935.068,5.291,0.804,1.9754
17.828,63.127,920.795,5.217,0.784,1.9905
17.634,62.502,902.923,5.170,0.731,1.9922
17.823,63.058,899.857,5.066,0.758,1.9698
17.456,62.248,885.011,4.823,0.755,1.9541
17.474,61.283,886.775,4.711,0.720,1.9220
17.146,60.779,886.437,4.515,0.756,1.9032
17.150,61.498,903.600,4.574,0.820,1.8798
16.975,61.004,908.512,4.407,0.810,1.8674
16.799,60.635,927.116,4.550,0.833,1.8464
16.642,61.469,926.695,4.744,0.864,1.8225
16.586,61.917,937.691,4.863,0.901,1.8475
16.364,62.393,918.142,4.908,0.912,1.8445
16.652,62.185,913.732,5.001,0.887,1.8152
16.446,63.151,902.652,5.142,0.838,1.8345
16.664,63.921,884.512,5.211,0.801,1.8729
16.773,64.918,879.688,5.178,0.813,1.8897
16.668,65.312,891.336,5.147,0.744,1.9180
17.077,64.693,895.216,4.981,0.707,1.9398
17.240,64.348,919.106,4.894,0.708,1.9410
