p2.Temp_Air,p2.Humi_Air,p2.CO2_ppm,p1.NH3_ppm,p1.H2S_ppm,p3.CH4_Vout
15.120,64.383,856.060,4.149,0.744,1.7808
15.210,63.484,881.503,4.444,0.746,1.7823
15.557,62.919,886.896,4.521,0.716,1.7849
15.530,62.759,881.879,4.479,0.710,1.8284
15.560,62.209,877.860,4.546,0.709,1.8326
15.774,62.482,881.394,4.574,0.670,1.8232
15.622,62.081,855.292,4.517,0.632,1.7982
15.712,61.405,848.746,4.264,0.618,1.8174
15.537,61.115,839.267,4.220,0.582,1.7789
15.399,59.693,839.665,4.054,0.587,1.7544
15.347,60.795,849.127,3.824,0.663,1.7593
15.119,60.376,853.793,3.993,0.660,1.7334
14.970,59.777,875.869,3.851,0.675,1.7053
14.752,60.516,880.057,3.986,0.748,1.6732
14.776,60.133,887.356,4.138,0.762,1.6644
14.549,61.101,890.077,4.275,0.781,1.6629
14.336,61.049,889.881,4.278,0.769,1.6563
14.269,62.427,861.588,4.344,0.723,1.6817
14.453,62.823,864.667,4.605,0.736,1.6637
14.677,62.399,852.425,4.631,0.686,1.6715
14.656,62.748,846.994,4.447,0.674,1.7117
14.875,64.387,839.226,4.523,0.623,1.7479
14.918,63.445,847.060,4.344,0.599,1.7382
14.915,64.502,871.173,4.146,0.610,1.7763
